Wilson & Reeder's (2015),Migrate ,Hibernate,Solitary (or Small Clusters),Clusters,Caves,Mines,Bridges,Quarries,Storm Sewer,Leaf Litter,Foliage,Hollow Trees,Buildings,Cliff (rock crevices),Min Temp (C),Max Temp,Develop signs of disease,% Change in ?,,,,,,,,,,,,,,,
Antrozous pallidus,0,1,1,1,1,1,0,0,0,0,0,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Artibeus (Artibeus) jamaicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Choeronycteris mexicana ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Corynorhinus rafinesquii,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.6,8.9,0,Null,,,,,,,,,,,,,,,
Corynorhinus townsendii ,0,1,1,0,1,1,0,0,0,0,0,0,0,0,-3,21,0,Null,,,,,,,,,,,,,,,
Eptesicus (Eptesicus) fuscus,0,1,1,1,1,1,0,0,1,0,0,0,1,0,-10,20,1,14.3,,,,,,,,,,,,,,,
Euderma maculatum,0,1,1,0,0,0,0,0,0,0,0,0,1,1,unk,unk,0,Null,,,,,,,,,,,,,,,
Eumops glaucinus floridanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Eumops perotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Eumops underwoodi,unk,unk,0,0,0,0,0,0,0,0,0,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Idionycteris phyllotis,unk,unk,0,0,0,0,0,0,0,0,0,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Lasionycteris noctivagans ,1,1,1,0,0,0,0,0,0,0,1,0,1,1,-0.6,13.3,0,Null,,,,,,,,,,,,,,,
Lasiurus (Dasypterus) ega,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Lasiurus (Dasypterus) intermedius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Lasiurus (Dasypterus) xanthinus,0,1,1,0,0,0,0,0,0,0,1,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Lasiurus (Lasiurus) blossevillii,1,1,1,0,0,0,0,0,0,0,1,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Lasiurus (Lasiurus) borealis,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,unk,0,Null,,,,,,,,,,,,,,,
Lasiurus (Lasiurus) cinereus,1,1,1,0,0,0,0,0,0,0,1,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Lasiurus (Lasiurus) cinereus semotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Lasiurus (Lasiurus) seminolus,1,1,1,0,0,0,0,0,0,1,1,0,0,0,-6.8,unk,0,Null,,,,,,,,,,,,,,,
Leptonycteris curasoae ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Leptonycteris nivalis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Leptonycteris yerbabuenae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Macrotus californicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Mormoops megalophylla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Myotis auriculus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Myotis austroriparius ,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4.4,10,0,Null,,,,,,,,,,,,,,,
Myotis californicus,0,1,1,0,1,1,0,0,0,0,0,0,0,0,10.7,14.4,0,Null,,,,,,,,,,,,,,,
Myotis ciliolabrum ,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,17,0,Null,,,,,,,,,,,,,,,
Myotis evotis,0,1,1,0,1,0,0,0,0,0,0,0,1,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Myotis grisescens ,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,25,1,unk,,,,,,,,,,,,,,,
Myotis keenii,0,1,1,0,1,0,0,0,1,0,0,0,0,0,-1.5,12.3,0,Null,,,,,,,,,,,,,,,
Myotis leibii,0,1,1,0,1,1,0,0,0,0,0,0,0,0,-9,13,1,10.9,,,,,,,,,,,,,,,
Myotis lucifugus ,1,1,0,1,1,1,0,0,0,0,0,0,0,0,-4,13,1,9.52,,,,,,,,,,,,,,,
Myotis melanorhinus ,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,17,0,Null,,,,,,,,,,,,,,,
Myotis occultus ,0,1,1,0,1,1,0,0,0,0,0,0,0,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Myotis septentrionalis ,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.6,13.9,1,76.1,,,,,,,,,,,,,,,
Myotis sodalis,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-3.9,13.9,1,6.78,,,,,,,,,,,,,,,
Myotis thysanodes,1,1,1,0,1,0,0,0,0,0,0,0,1,0,6.7,6.7,0,Null,,,,,,,,,,,,,,,
Myotis velifer,1,1,0,1,1,0,0,0,0,0,0,0,0,0,5,20,0,Null,,,,,,,,,,,,,,,
Myotis volans,0,1,0,1,1,1,0,0,0,0,0,0,0,0,-4,13,0,Null,,,,,,,,,,,,,,,
Myotis yumanensis,1,1,0,1,1,0,0,0,0,0,0,0,1,0,unk,unk,0,Null,,,,,,,,,,,,,,,
Nycticeius humeralis,0,1,0,1,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,0,Null,,,,,,,,,,,,,,,
Nyctinomops femorosaccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Nyctinomops macrotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
Pipistrellus (Perimyotis) subflavus,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,17.8,1,51.1,,,,,,,,,,,,,,,
Pipistrellus (Pipistrellus) hesperus,0,1,unk,unk,1,1,0,0,0,0,0,0,0,1,0,14,0,Null,,,,,,,,,,,,,,,
Tadarida brasiliensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,0,Null,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,May not need the solitary/small cluster column - large cluster is more important ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
